elo_rank,elo_score,name,elo_matches,nicolinho/QRM-Gemma-2-27B,Skywork/Skywork-Reward-Gemma-2-27B-v0.2,Skywork/Skywork-Reward-Gemma-2-27B,Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,nicolinho/QRM-Llama3.1-8B,LxzGordon/URM-LLaMa-3.1-8B,Ray2333/GRM-Llama3-8B-rewardmodel-ft,Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,RLHFlow/ArmoRM-Llama3-8B-v0.1,Ray2333/GRM-gemma2-2B-rewardmodel-ft
1,1669,Universe,1372,0.7902883887290955,-12.1875,-36.25,-19.875,1.9459772109985352,-0.12109498679637909,-19.3125,-7.2109375,0.06494140625,-7.94921875
2,1661,Water,1883,1.0182547569274902,-9.875,-30.125,-13.5,11.150001525878906,0.2918734848499298,-16.28125,-1.4755859375,0.08544921875,-2.67578125
3,1645,Information,440,1.570440411567688,-10.1875,-31.0,-15.0625,7.965200901031494,0.12714169919490814,-17.3125,-3.48828125,0.083984375,-6.09375
4,1637,Knowledge,726,1.8541324138641357,-9.125,-27.25,-15.5625,9.182943344116211,0.33730924129486084,-16.078125,-2.34375,0.09326171875,-6.00390625
5,1626,Love,1941,2.441779375076294,-6.75,-15.0,-10.125,19.986207962036133,0.8649888634681702,-13.0625,-0.1201171875,0.09423828125,1.4013671875
6,1622,Happiness,1845,3.2827227115631104,-5.25,-10.8125,-10.375,20.019887924194336,0.9898122549057007,-12.4609375,0.6181640625,0.11669921875,0.97021484375
7,1612,Gravity,1713,0.5471241474151611,-12.8125,-41.5,-21.25,0.8592994213104248,-0.2353733479976654,-18.140625,-5.5546875,0.072265625,-7.6796875
8,1609,Health,803,1.9149233102798462,-8.125,-24.5,-13.5,14.147422790527344,0.7549253106117249,-15.609375,-1.736328125,0.0947265625,-2.587890625
9,1608,Earth,3088,0.8662768602371216,-10.8125,-31.625,-18.125,7.698156356811523,0.06884311139583588,-17.859375,-3.9765625,0.07177734375,-6.71484375
10,1606,Friendship,1659,1.6717588901519775,-9.0,-25.625,-12.8125,13.39657211303711,0.6374087929725647,-14.3046875,-2.3125,0.10791015625,0.85986328125
11,1606,Nature,1623,1.2766165733337402,-9.8125,-31.0,-17.625,6.23625373840332,0.20104528963565826,-14.859375,-1.8154296875,0.08984375,-2.72265625
12,1605,Oxygen,1857,1.7426824569702148,-8.875,-28.875,-15.875,10.886648178100586,0.2652849853038788,-15.90625,-1.462890625,0.0947265625,-3.583984375
