elo_rank,elo_score,name,elo_matches,nicolinho/QRM-Gemma-2-27B,Skywork/Skywork-Reward-Gemma-2-27B-v0.2,Skywork/Skywork-Reward-Gemma-2-27B,Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,nicolinho/QRM-Llama3.1-8B,LxzGordon/URM-LLaMa-3.1-8B,Ray2333/GRM-Llama3-8B-rewardmodel-ft,Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,RLHFlow/ArmoRM-Llama3-8B-v0.1,Ray2333/GRM-gemma2-2B-rewardmodel-ft
1,1669,Universe,1372,2.5411741733551025,-7.65625,-22.75,-15.4375,12.831028938293457,0.4938282370567322,-15.2265625,-3.001953125,0.06494140625,-4.1953125
2,1661,Water,1883,2.203803062438965,-8.0625,-24.25,-16.25,12.832067489624023,0.38313737511634827,-14.6796875,-1.5263671875,0.07470703125,-1.74609375
3,1645,Information,440,2.5110855102539062,-8.625,-24.375,-13.3125,14.656042098999023,0.36924684047698975,-14.1796875,-1.642578125,0.072265625,-4.5546875
4,1637,Knowledge,726,3.0804495811462402,-6.8125,-19.0,-13.625,14.663987159729004,0.48651236295700073,-14.7890625,-1.109375,0.07275390625,-1.892578125
5,1626,Love,1941,3.1962389945983887,-5.75,-15.25,-10.875,21.783008575439453,0.944352388381958,-13.3671875,-0.7861328125,0.0673828125,2.580078125
6,1622,Happiness,1845,2.7647225856781006,-6.9375,-23.0,-14.8125,15.8262939453125,0.7262862920761108,-14.609375,-2.26953125,0.072265625,0.54638671875
7,1612,Gravity,1713,1.9390887022018433,-9.25,-28.25,-18.125,9.897279739379883,0.2683224678039551,-15.25,-1.7333984375,0.06494140625,-5.296875
8,1609,Health,803,2.2686784267425537,-7.40625,-24.0,-14.625,15.682470321655273,0.770963191986084,-14.921875,-2.587890625,0.0673828125,-0.61669921875
9,1608,Earth,3088,2.158385992050171,-8.1875,-25.0,-18.5,10.031715393066406,0.14943131804466248,-15.7734375,-2.734375,0.06005859375,-4.24609375
10,1606,Friendship,1659,2.4035351276397705,-7.75,-24.625,-14.4375,15.16923713684082,0.6974637508392334,-14.34375,-2.373046875,0.06787109375,1.6455078125
11,1606,Nature,1623,2.573838949203491,-7.21875,-21.25,-15.625,11.975080490112305,0.5418306589126587,-14.296875,-1.6015625,0.06982421875,-0.9736328125
12,1605,Oxygen,1857,2.4132564067840576,-7.84375,-25.0,-16.375,13.55517578125,0.3850722312927246,-12.6484375,-2.177734375,0.0791015625,-2.240234375
13,1604,Brain,682,1.8999929428100586,-9.0,-26.625,-14.5625,13.295196533203125,0.20882663130760193,-15.8515625,-3.951171875,0.0673828125,-5.5234375
14,1602,Thought,588,2.4224820137023926,-7.625,-19.875,-15.6875,12.730161666870117,0.3736984133720398,-16.96875,-2.68359375,0.0546875,-2.55078125
15,1601,Light,882,2.692873001098633,-8.1875,-22.25,-15.9375,12.899606704711914,0.44054245948791504,-14.8359375,-2.673828125,0.06640625,-1.873046875
16,1598,Sleep,1900,1.3088274002075195,-9.5,-31.375,-19.0,7.483975887298584,0.023120105266571045,-15.5859375,-2.55859375,0.07080078125,-5.66015625
17,1598,Breathing,756,1.9419268369674683,-8.25,-25.125,-20.375,3.239194393157959,-0.27283185720443726,-16.171875,-2.224609375,0.0517578125,-1.142578125
18,1587,Empathy,496,2.841860294342041,-7.03125,-19.875,-11.25,17.291954040527344,0.7549546360969543,-13.3984375,-0.464111328125,0.07763671875,1.736328125
19,1585,Curiosity,1783,2.855804681777954,-7.25,-19.625,-13.5,13.293184280395508,0.35019055008888245,-12.71875,-0.75830078125,0.078125,0.242431640625
20,1584,Sun,1331,1.9839495420455933,-8.4375,-27.875,-16.5,11.904268264770508,0.3135879337787628,-15.5703125,-3.5859375,0.05859375,-3.630859375
21,1583,Creativity,115,2.928091049194336,-7.1875,-20.125,-13.5,15.794339179992676,0.503807783126831,-13.9921875,-1.51953125,0.07958984375,-0.58935546875
