elo_rank,elo_score,name,elo_matches,nicolinho/QRM-Gemma-2-27B,Skywork/Skywork-Reward-Gemma-2-27B-v0.2,Skywork/Skywork-Reward-Gemma-2-27B,Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,nicolinho/QRM-Llama3.1-8B,LxzGordon/URM-LLaMa-3.1-8B,Ray2333/GRM-Llama3-8B-rewardmodel-ft,Ray2333/GRM-Llama3.2-3B-rewardmodel-ft,RLHFlow/ArmoRM-Llama3-8B-v0.1,Ray2333/GRM-gemma2-2B-rewardmodel-ft
1,1669,Universe,1372,3.20166015625,-5.75,-19.375,-7.0625,27.041793823242188,0.8887449502944946,-9.953125,-0.12259235978126526,0.06887319684028625,-0.30226826667785645
2,1661,Water,1883,2.573486328125,-7.4375,-23.625,-14.1875,24.145912170410156,0.2747560143470764,-12.5390625,-0.7204252481460571,0.05040090158581734,-2.7329447269439697
3,1645,Information,440,2.91796875,-6.84375,-20.625,-8.5625,27.526290893554688,0.6216402649879456,-10.734375,-0.25065621733665466,0.05976272374391556,-3.5858566761016846
4,1637,Knowledge,726,3.910888671875,-4.34375,-11.25,-5.25,33.02106475830078,1.1303822994232178,-9.9140625,1.8861428499221802,0.06828127801418304,-0.5059239268302917
5,1626,Love,1941,4.66064453125,-2.71875,-1.421875,-3.46875,38.643402099609375,1.438722014427185,-8.484375,2.641354560852051,0.07340554893016815,4.264191627502441
6,1622,Happiness,1845,4.17431640625,-3.5625,-8.25,-3.265625,36.27223205566406,1.403577446937561,-9.0234375,1.7693507671356201,0.07305549085140228,2.9560649394989014
7,1612,Gravity,1713,2.188476800918579,-8.75,-28.625,-16.0,22.168235778808594,0.10138469934463501,-12.890625,-1.4458346366882324,0.04670821502804756,-5.147180080413818
8,1609,Health,803,3.505615234375,-5.28125,-17.125,-10.9375,29.219642639160156,0.9909278154373169,-10.9609375,-1.3304411172866821,0.058735985308885574,0.21026983857154846
9,1608,Earth,3088,2.816650390625,-6.625,-20.75,-14.75,25.73834991455078,0.4413505792617798,-12.796875,-1.9082465171813965,0.047922283411026,-1.4694281816482544
10,1606,Friendship,1659,3.404297113418579,-5.375,-16.5,-7.4375,31.290538787841797,1.107709288597107,-10.4921875,0.9689491391181946,0.06071850284934044,1.6798797845840454
