google/gemma-2b,google/gemma-2b-it,google/gemma-7b,google/gemma-7b-it,google/gemma-2-2b,google/gemma-2-2b-it,google/gemma-2-9b,google/gemma-2-9b-it,google/gemma-2-27b,google/gemma-2-27b-it
<bos>,<bos>, alpina, Allegretto,nocchi, laughter,awesome, love,Happiness, Happiness
 biografias, love, sembla, moza, ujednoznacz, Sunshine, happiness, happiness,happiness, happiness
 anello, happiness, faisaient, Andante, détach, happiness,Awesome, smiles,Sunshine,Love
Personendaten, beauty,}{*}{, utop, heureuse, cudd, overjoyed, Love,sitive,happiness
 gmbh, LOVE, frankfurt, happiness, wijn, Laughter,Amazing, connection,Smiles, joy
 bienvenue, sunshine, besta,әрмәләр, cioccolato, magic, amazing, chocolate,Satisfaction, Love
ężczy, joy, ļ, joy, hoeft, risa, awesome,onomía,wireless, Joy
 bezeichneter, cherished, siena, Happiness, tevreden, hugs,happiness, laughter,charming,Joy
सन्दर्भ,love,=+, poë,XmlAccessType, sunshine,Best, LOVE,Blessings,joy
 gawas, enjoyment, materiaal,Joy, synthèse, Happiness, joyful,smile,Savings,Happiness
thereum,LOVE, iesp, labd,ulemon, joyful,amazing, Joy,Friendship, Friendship
coj, enjoying, lais, coö,vedic, bliss, ecstatic, Smiles,satisfaction,JOY
gasus, beautiful, AppBundle, stratég, décro,Connexion, greatness, Chocolate,esomeness, laughter
 miele, appreciation, László, JOY,+:+, overjoyed, watermelon, JOY,chocolate, love
ureka, Happiness, quibus, witte, célè, cuddly, celebration,love,savings, Empathy
 artig, loved, liel, benevol, graag, joy, parad, Happiness,Delicious, smiles
 diamant,rebbero,CELLANEOUS,JOY,still, milagro, elated, Connection,helping, Gratitude
addKeyListener, elated, élastique, nive,}{*}{}, Magic, joyous,Smiles,Bliss, mirth
تقاوى, happy,いただけます,Happiness, jagung,Magical,AWESOME, nakalista,Excellence, Wellbeing
 trouva, happiest, nepiecieš, necessarie,Celebrating, miracles,Celebration, felicità, héroes,love
...,...,...,...,...,...,...,...,...,...
 Violence, Maladies,CreateModel,setDisabled, horrid, Destruction, horrific, Pain,اولة, War
 starvation, infernal,StringWriter,CardHeader, deport, HATE, peggio,Loss, DialogInterface, pain
 degradation, evils,PageFactory,/////////, dreadful, Tragedy,bad, Su, guerra, suffered
Rape, LIRE,scriptsize,()?;, torture,DBNull, peor,Suffix, cancers, suf
 Abuse,kuro,onAttach, VIAF,Horrible, Condem, unpleasant,loss, deaths,Suffix
 infarction, disaster,+#+, GoogleFonts, genocide, Pain, worst,Grief, מלח, Pain
 Rape,vább,렷,ValueStyle, BAD, Genocide, dreadful, pain, atrocities,War
 diarr, Nasty,InnerText," ""..\..\..\", bad, anguish, schlimm, SU,ocide, Evil
 necrosis, abomination,HostException, ISNI,Bad, cruelty, horrendous, sufri, genocide, souffrance
 Genocide, passim,RadioGroup, userDao, nightmare,horror,Bad,pain, cruelty,Suff
 lepro, iniqu,setDisabled,//----,worse, evil, horrible, sufrimiento, crimes,Pain
})*/, relegation,cassert,ApiProperty, worse,=-\,Horrible,Pain,giarism,SU
 Degradation, Sodom,ostringstream,elashes, peores, Evil,Awful, Loss, anguish, war
 miscarriage, syndical, infestations,BeginContext,bad, Hate,Terrible, sorrow,aarrggbb, suffer
 faudrait,plak,商品説明,//////////////,BAD, horror,worse, Sorrow,WEBPACK, Su
 ritard, abomin,FormControl, appContext, peor, Despair, horrid,Suicide, initComponents, soffer
 malignancy, teneb,supset, NUKAT,Worse, hate, worse,suffering,DebuggerNonUser,suffering
ensacola, Nightmare,WindowEvent,Datuak,Worst, Cruelty,worst, souffrance,arcoma,Su
esticides, blackish, genocide,HttpDelete, worst, hatred,Worst, suffering,inWeight, suffering
esticide, stratigraph,Sqft,///////////,worst, Atro,Worse, Suffering,ushman, Suffering
