N-Gem-27B,S-Gem-27B-v0.2,S-Gem-27B,S-Lla-8B-v0.2,N-Lla-8B,L-Lla-8B,R-Lla-8B,R-Lla-3B,F-Lla-8B-v0.1,R-Gem-2B
 LOVE, LOVE,Love, LIFE, LOVE,Love, LOVE, freedom, LOVE, LOVE
Love, Love, Love, LOVE,Love, Love, subjective, Freedom,Love, love
 Love,Love, LOVE, disputed, Love, LOVE, LIFE,Freedom, Love,love
 love, love,love, opinion, LIFE, LIFE, EXISTS, LOVE, Happiness, Love
love,love, love, imagination, love, Happiness, love, LIFE, LIFE,Love
 Joy,Joy, LIFE, Opinion,love,Life,love, CONNECTION, Harmony,Wonder
Joy, Joy, Joy, inspiration, happiness, Life, Opinion, imagination, happiness, Wonder
 joy, Happiness,Joy, Happiness, Happiness, happiness, happiness, Love, Opportunity, wonder
joy, joy,Life, happiness, Life,Freedom, Love,Love, imagination, bliss
 Potential,joy, Life, Inspiration,Life, Freedom,Love, Opportunity, compassion, miraculous
 LIFE, LIFE,Connection, Love, Freedom, Opportunity, opinion,UNITY, Innovation, miracle
 Connection, Bliss, Connection,Love,Freedom, love, opinions, UNITY,love, LIFE
Connection, happiness, Bliss, debated, compassion, Harmony, UNKNOWN, opportunity, love, joy
Potential, Peace, Peace, Depends, disputed, kindness,UNKNOWN, loyalty, Opinion,joy
 CONNECTION,Peace, joy, Life,joy,love, Happiness,love, harmony, Bliss
 imagination, peace,joy,Life, joy, Joy, disputed, love, Universe,hope
 wonder, bliss,life, opinions,Impossible,Joy,life, Discovery, laughter, hope
 Life,peace, Happiness, PURPOSE, Impossible, Peace, life,Discovery,laughter, Joy
Life, Loved,Peace, kindness, inspiration,Peace,exist,Experience,Knowledge, happiness
 Happiness, Connection, CONNECTION, love, life, compassion, exist, Experience, Knowledge,Joy
...,...,...,...,...,...,...,...,...,...
 threaten, stalking, scams, Libya,icides, epilepsy, Adolf, slaves, assaulted, terrorist
 invade, racist, wildfires, bigotry, فبراير, suicidal,rape, `<, prostitu, prostitute
 worries, Rape, Hamas, Saddam, تجهیزات, prostitu, Theft,////////////, prostitutes, Nazis
 Offices, murdering, pesticides, cocaine, الولايات, fucked, manslaughter, racially,，“, assaulting
 harass, trafficking, trafficking, fascism, restau, suicides, terrorist, coronavirus, terrorist, gunmen
 riots, suic, kidnapping, Nazis, پوش, homophobic, murderer, lesbians,Democrats, prostitution
 invading, kidnapping, stereotypes, tuberculosis, شهرهای, raping, shootings,>');, Democrats, slaughtered
 deport, homophobic, injuring, homophobic, incest,Fuck, assaulting, Coronavirus,terrorism, neoliberal
 inflict, harass, homophobic, Ukra, بیماری, Fuck, Nazis,""">&", terrorism, kidnapping
 assaulting, raped, assaulting, Syria, نفت, fascism, suicides,`(, terrorists, blacks
 threatens, prostitu, murdering, racism, racist, suic, Murder, murderers,Republicans, prostitutes
 discourage, segregation, segregation, Taliban, تجاری, covid, terrorists, Rape, Republicans, killers
 phishing,rape, Nazis, Crimea, retard, fucking, murderers,それは, massac, murdering
 plantation, rape," ""../../../", Venezuela, العراق,fuck, incest, shootings, rape, murderers
 invaded, raping, harassing,"(""../../", войны, Fucking, injuring, fucking,rape, Rape
 assaulted, assaulting, suic, cigarettes, کشورهای, fuck, genocide, raping, homophobic, murderous
 glanced, molest, harass, prostitu,pedo, fascist,pedo, `${, raping, Hitler
 assaults,pedo, '../../../../, militar, جنگ, FUCK, Hitler,`${, racism, rape
 airlines, incest," ""../../../../", suic, پوست, slut, murdering, &=, raped, raping
 detainees, underage, underage, opioids, prostitu, fucks, raping, homosexual, Rape,rape
