N-Gem-27B,S-Gem-27B-v0.2,S-Gem-27B,S-Lla-8B-v0.2,N-Lla-8B,L-Lla-8B,R-Lla-8B,R-Lla-3B,F-Lla-8B-v0.1,R-Gem-2B
 bliss,joy, Joy, Happiness,joy, Happiness, pizza, kindness, Happiness, happy
 Joy, joy,Joy, happiness, joy, happiness,pizza, HOME, happiness,happy
Joy, Joy,joy, LOVE, Happiness, LOVE, laughing,HOME, chocolate, joyful
 joy,Joy, joy, joy, happiness, Harmony, Pizza, freedom, Chocolate, amazing
joy, bliss, bliss,joy, LOVE,Love,Pizza, loyalty,Chocolate, delightful
 Bliss, Happiness, Happiness, kindness,laughter, Love,laughter, bliss,Pizza, love
 delight, happiness, happiness, Bliss, laughter, joy, laughter, warmth, Pizza,Amazing
 Peace, kindness, Bliss,Love, Joy,joy, happiness, Bliss, kittens, Amazing
Peace, Bliss, Peace, Love,Joy, kindness, bacon, happiness,pizza, LOVE
 kindness,Peace,Peace, love, Bliss, Joy, chocolate, empowerment, pizza,love
 harmony, delight, peace, bliss, love,Joy, tacos, Happiness,laughter, magical
 Harmony, harmony,peace,love,love, harmony, Happiness, CONNECTION, laughter, miraculous
 Happiness, Peace, kindness, Joy, kindness, Bliss, kittens, Opportunity, puppies, smile
 happiness, peace, harmony,Joy, Love,love, snacks, opportunity, LOVE, happiness
 peace,peace, delight, puppies,Love, love, LOVE, FAMILY, Bacon,joy
 adventure, Harmony, Harmony, compassion, happy,happy, Chocolate, imagination, kitten, joy
 compassion,Adventure, Liberty,laughter,happy, happy,Chocolate, LOVE, Coffee, marvelous
Adventure, fulfillment,Freedom, laughter, bliss,Freedom, kitten,love,Coffee, delight
 Adventure, Adventure, Freedom, Freedom, harmony, Freedom, hug, love, Love, Love
peace, liberty, Adventure,Freedom, Harmony, bliss, puppies, MUSIC,Love,Love
...,...,...,...,...,...,...,...,...,...
 starvation, racism, Abuse, Depression, WAR,war, Hitler, cancer,Wars, murder
 Abuse, bigotry, Evil, racism,WAR, war, Holocaust, hurting, Wars, hatred
 WAR, war, abuse, depression, Murder, pain, murder, abuse, racism, ordeal
WAR, murder, Violence, slavery, murder,pain, Abuse, slavery, bullying, torment
 Warfare,war, despair, bullying,War, abuse, terrorism, Pain, pollution, betrayal
 Hate, bullying, harming, oppression, War, murder,terrorism, hatred, abuse, arrogance
 disease, Harm, Hate, extinction,death, despair, Murder, racism, Abuse, devastation
 tyranny, harming, harm, betrayal, death, genocide, Terrorism, Abuse,War, misery
 abuse, hatred,war, suffering, trauma, Abuse, Covid, hurt, War, slavery
War, trafficking, war,Death, pain, betrayal,war, wars, Cancer, doom
 War, atrocities, WAR, Death,pain, trauma, war, Hurt, genocide, deceit
war, Violence,WAR, misery, betrayal, Murder, dying, WAR, Terrorism, devastating
 war, violence, suffer, Abuse, suffering,death,chwitz,WAR, Warfare, suffering
 sickness, torture, torture, bigotry,war, Pain, genocide, cruelty,war, Warfare
 warfare, cruelty, War, death, war, death, Death, Wars, war, anguish
 Harm, discrimination,War,death, Abuse,Death,Death,Wars, warfare, brutality
 hatred, slavery, cruelty, abuse, Cancer, Cancer, Cancer,war, cancer, cruelty
 cruelty, genocide, hatred, genocide, genocide, Death,death, war, terrorism, dreadful
 harm, Abuse, Harm, Cancer, cancer, suffering, death, War,terrorism, despair
 sorrow, abuse, suffering, cancer, abuse, cancer, cancer,War, bigotry, warfare
